tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,conversation_id
122483,143322,True,2017-11-23 23:25:39+00:00,@115714 How tf is this an “unlimited data plan” I’m going to fucking Verizon https://t.co/qA4XVMxbMJ,122482,,0
122482,sprintcare,False,2017-11-23 23:48:02+00:00,"@143322 Hi! This is something we would like to take a look into. Please, DM us to start. - GS https://t.co/rMApsV8PQY",,122483.0,0
2208135,314278,True,2017-10-19 14:14:31+00:00,"I'm at McDonald's in Kennesaw, GA https://t.co/T5as24q0Xs",2208134,,1
2208134,McDonalds,False,2017-10-19 14:43:25+00:00,@314278 Life is all about choices! We're just happy to be one of yours. :),,2208135.0,1
2452627,702721,True,2017-10-29 17:32:09+00:00,@115873 you charged me $10 to cancel an Uber last night...why,2452626,,2
2452626,Uber_Support,False,2017-10-29 18:04:09+00:00,@702721 Here to help! Send us a note here; https://t.co/h840Iouehc and our team will be able to help.,,2452627.0,2
764630,302749,True,2017-10-11 21:40:11+00:00,@ATT why can’t you ever get my bill right?! Why must I constantly call you??? Seems like it may be time to move on. Wanna fix it?!,764629,,3
764629,ATT,False,2017-10-11 21:43:00+00:00,"@302749 Hey Matthew,we understand billing issues are important. Could you send us DM about your bill concern? Thanks -VeroP",,764630.0,3
2448393,701601,True,2017-11-15 02:12:49+00:00,@AppleSupport i updated the latest version a few days ago. https://t.co/dgKAnoODU5,2448392,,4
2448392,AppleSupport,False,2017-11-15 02:24:26+00:00,"@701601 Thanks. Send us a DM, and we’ll take a closer look into this. https://t.co/GDrqU22YpT",,2448393.0,4
1634168,499927,True,2017-11-05 19:50:45+00:00,@Delta My daughter is having an extremely challenging time with her flights.  What’s the best method to communicate with someone to assist?,1634167,,5
1634167,Delta,False,2017-11-05 20:40:52+00:00,"@499927 Angie, please have your daughter reach out to us. *ACJ",,1634168.0,5
2521426,718149,True,2017-11-16 00:45:58+00:00,@116062  Will you have the #SNESClassic soon? Do tell. 😁,2521425,,6
2521425,AskTarget,False,2017-11-16 01:32:26+00:00,"@718149 The SNES Classic is wildly popular and has sold out again. No worries though, we've ordered more. No arrival time to share at this time. Please check back at https://t.co/wkXA44Homc for availability updates. Be sure to use the Find In A Store button to check your area.",,2521426.0,6
963704,348730,True,2017-10-21 21:12:35+00:00,"Yurrr what's good with ya? @115858 , can't hear shit outta my iPhone when ppl calls me 🤔,",963703,,7
963703,AppleSupport,False,2017-10-21 22:50:30+00:00,"@348730 Does this occur when using headphones or directly on the receiver? Let us know, we want to be sure you can hear others on a call.",,963704.0,7
1559825,481997,True,2017-11-04 04:40:21+00:00,"@116076 Do you guys have vegan pizza yet? If so, what are the vegan options??",1559823,,8
1559823,AskPapaJohns,False,2017-11-04 12:32:24+00:00,"@481997 Hi, Punam! Our original crust and sauce without cheese are vegan-friendly.",1559824,1559825.0,8
1559824,481997,True,2017-11-04 16:38:35+00:00,@AskPapaJohns Sweet!!! Does the garlic sauce contain any dairy??,"1559826,1559827",1559823.0,8
1559826,AskPapaJohns,False,2017-11-04 16:44:24+00:00,"@481997 Our garlic sauce contains lactic acid, which is not classified as an animal derivative because it has been fermented.  2/2",1559828,1559824.0,8
1559827,AskPapaJohns,False,2017-11-04 16:44:24+00:00,@481997 According to our nutrition team - 1/2,,1559824.0,8
1559828,481997,True,2017-11-05 04:30:11+00:00,@AskPapaJohns Thanks guys!!,,1559826.0,8
116681,119917,True,2017-11-23 21:19:41+00:00,@Tesco when will PS4 game be reduced for #BlackFriday,116680,,9
116680,Tesco,False,2017-11-23 21:51:40+00:00,"@119917 Hi Daniel, I'm sorry that we don't know. Please keep an eye on the site. I hope you'll be able to grab a bargain. - Phil.",116679,116681.0,9
116679,119917,True,2017-11-23 21:54:06+00:00,@Tesco will it all kick in at midnight or later,116678,116680.0,9
116678,Tesco,False,2017-11-23 21:57:45+00:00,"@119917 Hi Daniel, products will be available from 00:01am online. Most of our participating stores will open at 5am. - Phil.",,116679.0,9
484593,230321,True,2017-12-01 08:29:05+00:00,After uploading Apple security updates I can’t access any website 😫 @AppleSupport https://t.co/S2Xxg0RHpJ,484591,,10
484591,AppleSupport,False,2017-12-01 14:46:00+00:00,"@230321 Hey, we'd like to learn more about what's going on so that we can help. First, can you translate for us what that alert says?",484592,484593.0,10
484592,230321,True,2017-12-01 14:54:03+00:00,@AppleSupport Thank you! The alert says that „ this connection is not secure. This website might imitate google.ch”. I’ve never had such issue before. It appeared after security software update,484594,484591.0,10
484594,AppleSupport,False,2017-12-01 16:11:37+00:00,"@230321 Thanks. So we're clear, was this an update to the macOS or a security program you've installed on your device?",484595,484592.0,10
484595,230321,True,2017-12-01 16:18:14+00:00,"@AppleSupport As you can see from the picture, it was an official update from Apple. As soon as I uploaded macOS software update, I received notification that I have to install security updates as well. https://t.co/1raZtYCqAw",484596,484594.0,10
484596,AppleSupport,False,2017-12-01 17:20:33+00:00,@230321 Thank you. Please come on over to DM and we'll be more than happy to look into this with you further. https://t.co/GDrqU22YpT,,484595.0,10
844224,320707,True,2017-10-20 09:11:01+00:00,"@AppleSupport ive got the iphone seven+, probably had no longer than 6 months, no cracks and all of a sudden the screen is not working.",844223,,11
844223,320707,True,2017-10-20 09:12:15+00:00,@AppleSupport ive tried the home and lock reset and it is just taking screenshots even when im holding it down for about 30 seconds. a piece of shit rly,844222,844224.0,11
844222,AppleSupport,False,2017-10-20 14:11:29+00:00,@320707 We're glad you are reaching out to us. We see your DM and will be responding there shortly.,,844223.0,11
137668,146766,True,2017-11-24 09:11:54+00:00,"@Safaricom_Care kindly call back, I can't reach you on phone 0720511663",137667,,12
137667,Safaricom_Care,False,2017-11-24 10:02:38+00:00,"@146766 Hi, we've been in touch. ^SD",,137668.0,12
